root,	3.5,3,3,	-360,360,-360,360,-360,360,	body_front
waist,	3,3,5.5,	-20,20,-30,60,-15,15,	body_back
front_right_hip,	5.5,1.5,5,	-90,90,-90,90,-90,90,	leg_upper_front_right
front_right_knee,	5.5,1.5,2,	-90,90,-90,90,-90,90,	leg_lower_front_right
front_left_hip,	5.5,4.5,5,	-90,90,-90,90,-90,90,	leg_upper_front_left
front_left_knee,	5.5,4.5,2,	-90,90,-90,90,-90,90,	leg_lower_front_left
back_right_hip,	1.5,1.5,5,	-90,90,-90,90,-90,90,	leg_upper_back_right
back_right_knee,	1.5,1.5,3,	-90,90,-90,90,-90,90,	leg_lower_back_right
back_left_hip,	1.5,4.5,5,	-90,90,-90,90,-90,90,	leg_upper_back_left
back_left_knee,	1.5,4.5,3,	-90,90,-90,90,-90,90,	leg_lower_back_left
